Force,Displacement,Velocity
-201.95,0.00710703,-1.5988
-204.37,0.00700938,-1.61345
-204.37,0.00691172,-1.61833
-204.37,0.00681406,-1.62321
-206.78,0.00671641,-1.63298
-211.62,0.00661875,-1.64762
-214.04,0.00652109,-1.64274
-216.46,0.00642344,-1.62809
-218.87,0.00632578,-1.61833
-221.29,0.00622813,-1.62321
-223.71,0.00613047,-1.64274
-226.13,0.00598398,-1.66227
-226.13,0.00593516,-1.67692
-226.13,0.00578867,-1.6818
-226.13,0.00569102,-1.69645
-228.55,0.00559336,-1.72087
-230.96,0.0054957,-1.7404
-230.96,0.00539805,-1.75016
-235.8,0.00530039,-1.74528
-238.22,0.00515391,-1.73063
-240.64,0.00510508,-1.71598
-240.64,0.00495859,-1.7111
-245.47,0.00486094,-1.73063
-247.89,0.00476328,-1.75505
-247.89,0.00466563,-1.7697
-247.89,0.00451914,-1.7697
-247.89,0.00442148,-1.77458
-250.31,0.00432383,-1.79411
-252.73,0.00422617,-1.81852
-252.73,0.00407969,-1.81852
-252.73,0.00403086,-1.80387
-252.73,0.00388438,-1.78923
-257.56,0.00378672,-1.78923
-259.98,0.00368906,-1.79899
-262.4,0.00359141,-1.80387
-262.4,0.00344492,-1.80387
-264.82,0.00329844,-1.81364
-264.82,0.00320078,-1.82341
-267.23,0.00310313,-1.84294
-267.23,0.00300547,-1.86247
-269.65,0.00285898,-1.87712
-269.65,0.00276133,-1.87712
-269.65,0.00266367,-1.86735
-269.65,0.00256602,-1.84782
-269.65,0.00246836,-1.83805
-272.07,0.00232188,-1.84294
-274.49,0.00222422,-1.84782
-274.49,0.00207773,-1.84294
-274.49,0.00198008,-1.83317
-274.49,0.00188242,-1.84294
-276.91,0.00178477,-1.86247
-276.91,0.00163828,-1.87712
-279.32,0.00154063,-1.882
-276.91,0.00144297,-1.87712
-276.91,0.00129648,-1.882
-276.91,0.00119883,-1.89177
-279.32,0.00110117,-1.90153
-279.32,0.00100352,-1.90153
-279.32,0.00085703,-1.88688
-279.32,0.00075938,-1.87223
-279.32,0.00066172,-1.86735
-279.32,0.00056406,-1.86735
-281.74,0.00041758,-1.86735
-281.74,0.00031992,-1.87712
-281.74,0.00017344,-1.882
-281.74,0.00007578,-1.88688
-279.32,-0.00002187,-1.89177
-279.32,-0.00016836,-1.90153
-281.74,-0.00026602,-1.90641
-281.74,-0.00036367,-1.90641
-281.74,-0.00046133,-1.89665
-279.32,-0.00060781,-1.882
-279.32,-0.00070547,-1.87223
-279.32,-0.00080312,-1.86735
-281.74,-0.00094961,-1.85759
-279.32,-0.00104727,-1.84294
-276.91,-0.00119375,-1.83317
-279.32,-0.00129141,-1.83805
-276.91,-0.00138906,-1.84782
-276.91,-0.00148672,-1.86247
-276.91,-0.0016332,-1.86247
-276.91,-0.00173086,-1.86735
-276.91,-0.00187734,-1.87223
-274.49,-0.001975,-1.87223
-272.07,-0.00207266,-1.86735
-272.07,-0.00217031,-1.85759
-272.07,-0.0023168,-1.84782
-272.07,-0.00241445,-1.83805
-269.65,-0.00251211,-1.82341
-267.23,-0.00265859,-1.81364
-267.23,-0.00275625,-1.80876
-267.23,-0.00285391,-1.81364
-267.23,-0.00295156,-1.81852
-264.82,-0.00309805,-1.82341
-262.4,-0.0031957,-1.82341
-262.4,-0.00329336,-1.82829
-259.98,-0.00343984,-1.83317
-259.98,-0.0035375,-1.83317
-257.56,-0.00363516,-1.82341
-257.56,-0.00373281,-1.81364
-255.14,-0.00383047,-1.79899
-252.73,-0.00392812,-1.78434
-252.73,-0.00407461,-1.76481
-252.73,-0.00417227,-1.75016
-252.73,-0.00426992,-1.73552
-247.89,-0.00436758,-1.73063
-245.47,-0.00446523,-1.72575
-245.47,-0.00461172,-1.73063
-243.05,-0.00470937,-1.7404
-243.05,-0.00480703,-1.73552
-240.64,-0.00490469,-1.73063
-238.22,-0.00500234,-1.72575
-235.8,-0.00514883,-1.72575
-235.8,-0.00519766,-1.72575
-233.38,-0.00534414,-1.72087
-233.38,-0.0054418,-1.70622
-228.55,-0.00553945,-1.6818
-226.13,-0.00563711,-1.66716
-223.71,-0.00573477,-1.66227
-223.71,-0.00583242,-1.65739
-223.71,-0.00593008,-1.65251
-221.29,-0.00607656,-1.64274
-218.87,-0.00612539,-1.62321
-216.46,-0.00627187,-1.61833
-214.04,-0.0063207,-1.62321
-211.62,-0.00641836,-1.62809
-209.2,-0.00651602,-1.62809
-206.78,-0.00661367,-1.60856
-204.37,-0.00671133,-1.59391
-201.95,-0.00680898,-1.58415
-199.53,-0.00690664,-1.57927
-199.53,-0.0070043,-1.5695
-194.69,-0.00710195,-1.5402
-194.69,-0.00719961,-1.51091
-189.86,-0.00729727,-1.49137
-189.86,-0.00739492,-1.48649
-187.44,-0.00744375,-1.48649
-187.44,-0.00754141,-1.49137
-182.61,-0.00763906,-1.48649
-180.19,-0.00773672,-1.47673
-177.77,-0.00783437,-1.46208
-175.35,-0.00793203,-1.4572
-175.35,-0.00802969,-1.4572
-170.52,-0.00807852,-1.44743
-170.52,-0.00817617,-1.4279
-165.68,-0.00827383,-1.3986
-160.84,-0.00832266,-1.37907
-160.84,-0.00842031,-1.37419
-158.43,-0.00851797,-1.36442
-156.01,-0.00861563,-1.34489
-151.17,-0.00866445,-1.32536
-148.75,-0.00876211,-1.31071
-146.34,-0.00885977,-1.31071
-143.92,-0.00895742,-1.31071
-141.5,-0.00900625,-1.30095
-139.08,-0.00905508,-1.2863
-134.25,-0.00915273,-1.27165
-134.25,-0.00925039,-1.26188
-134.25,-0.00929922,-1.26188
-131.83,-0.00939688,-1.257
-126.99,-0.0094457,-1.24235
-122.16,-0.00954336,-1.20817
-117.32,-0.00959219,-1.17399
-114.9,-0.00968984,-1.1447
-112.48,-0.00973867,-1.12516
-107.65,-0.0097875,-1.10563
-105.23,-0.00988516,-1.08122
-102.81,-0.00998281,-1.06657
-100.39,-0.01003164,-1.06657
-100.39,-0.01008047,-1.07634
-97.98,-0.0101293,-1.08122
-93.14,-0.01022695,-1.07145
-88.3,-0.01027578,-1.0568
-85.89,-0.01032461,-1.04704
-83.47,-0.01037344,-1.03727
-81.05,-0.01047109,-1.02751
-81.05,-0.01051992,-1.00798
-76.21,-0.01056875,-0.9738
-73.8,-0.01061758,-0.93473
-68.96,-0.01071523,-0.89567
-66.54,-0.01076406,-0.87614
-66.54,-0.01081289,-0.86149
-64.12,-0.01086172,-0.85661
-59.29,-0.01091055,-0.84684
-59.29,-0.0110082,-0.83708
-56.87,-0.01105703,-0.8322
-56.87,-0.01105703,-0.8322
-54.45,-0.01110586,-0.83708
-54.45,-0.01120352,-0.84196
-54.45,-0.01125234,-0.83708
-54.45,-0.01130117,-0.8322
-52.03,-0.01130117,-0.82731
-52.03,-0.01139883,-0.8322
-52.03,-0.01139883,-0.82731
-49.62,-0.01144766,-0.8029
-47.2,-0.01149648,-0.7736
-42.36,-0.01154531,-0.73454
-37.53,-0.01159414,-0.69059
-27.86,-0.01164297,-0.632
-18.18,-0.0116918,-0.56364
-10.93,-0.0116918,-0.51481
-8.51,-0.01178945,-0.4904
-10.93,-0.01178945,-0.49528
-10.93,-0.01183828,-0.50016
-6.09,-0.01183828,-0.49528
-1.26,-0.01188711,-0.47575
-1.26,-0.01188711,-0.4611
-1.26,-0.01193594,-0.45622
-1.26,-0.01193594,-0.46598
1.16,-0.01198477,-0.4611
3.58,-0.01198477,-0.4318
6,-0.01203359,-0.39274
8.41,-0.01203359,-0.36345
8.41,-0.01208242,-0.34391
10.83,-0.01208242,-0.32927
10.83,-0.01213125,-0.29997
13.25,-0.01213125,-0.26579
15.67,-0.01213125,-0.24137
18.09,-0.01213125,-0.23161
20.5,-0.01218008,-0.22673
20.5,-0.01218008,-0.21696
20.5,-0.01218008,-0.19743
22.92,-0.01218008,-0.16813
27.76,-0.01222891,-0.14372
