Damper Lab
Wed 16 Sep 2015 - 14/31/31
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
-1.49073	3.39609	-3.97184
-1.51249	3.20078	-4.01579
-1.53183	2.95664	-4.05485
-1.55359	2.71250	-4.07927
-1.57536	2.46836	-4.09391
-1.59712	2.22422	-4.10368
-1.61404	1.98008	-4.10368
-1.63339	1.73594	-4.09391
-1.65273	1.49180	-4.07927
-1.66724	1.24766	-4.05973
-1.67933	1.00352	-4.04997
-1.68900	0.75938	-4.05973
-1.70109	0.51523	-4.07927
-1.70834	0.27109	-4.11345
-1.71318	0.02695	-4.13786
-1.71560	-0.21719	-4.14762
-1.71802	-0.51016	-4.14762
-1.72043	-0.70547	-4.12809
-1.72043	-0.99844	-4.10368
-1.72043	-1.24258	-4.07438
-1.71560	-1.48672	-4.04997
-1.70834	-1.73086	-4.02555
-1.70593	-1.97500	-4.01091
-1.69867	-2.21914	-4.00602
-1.68658	-2.46328	-4.00114
-1.67691	-2.70742	-4.00114
-1.66482	-2.95156	-3.98649
-1.65273	-3.19570	-3.96696
-1.63822	-3.43984	-3.93766
-1.61888	-3.68398	-3.89860
-1.60195	-3.92812	-3.85954
-1.58261	-4.17227	-3.83512
-1.56327	-4.36758	-3.82536
-1.54150	-4.61172	-3.80583
-1.51491	-4.85586	-3.76677
-1.48589	-5.10000	-3.72770
-1.46171	-5.29531	-3.69841
-1.43511	-5.53945	-3.66911
-1.40852	-5.73477	-3.62516
-1.37708	-5.97891	-3.57145
-1.34565	-6.17422	-3.50798
-1.31663	-6.41836	-3.46403
-1.28520	-6.61367	-3.43473
-1.25377	-6.85781	-3.40544
-1.21991	-7.05312	-3.36149
-1.18606	-7.24844	-3.31755
-1.14737	-7.44375	-3.26872
-1.10869	-7.63906	-3.22966
-1.07484	-7.83437	-3.18083
-1.03615	-8.02969	-3.12223
-0.99504	-8.22500	-3.06364
-0.95394	-8.42031	-3.00016
-0.91283	-8.61563	-2.94157
-0.87414	-8.81094	-2.88298
-0.83304	-8.95742	-2.82438
-0.78952	-9.15273	-2.77067
-0.74841	-9.29922	-2.71208
-0.70972	-9.49453	-2.65348
-0.66862	-9.64102	-2.60954
-0.62993	-9.78750	-2.56559
-0.58882	-9.98281	-2.51677
-0.54530	-10.12930	-2.43864
-0.50178	-10.22695	-2.36052
-0.46067	-10.37344	-2.28239
-0.41715	-10.56875	-2.21891
-0.37846	-10.66641	-2.14567
-0.33977	-10.81289	-2.05778
-0.30834	-10.91055	-1.95524
-0.28174	-11.05703	-1.85270
-0.25756	-11.15469	-1.74528
-0.23580	-11.25234	-1.64762
-0.21646	-11.35000	-1.55973
-0.19228	-11.44766	-1.48161
-0.17293	-11.54531	-1.40837
-0.15359	-11.64297	-1.33024
-0.13666	-11.74063	-1.24235
-0.11974	-11.78945	-1.15446
-0.10523	-11.83828	-1.07145
-0.09072	-11.93594	-0.99821
-0.07863	-11.98477	-0.93473
-0.07138	-12.03359	-0.89079
-0.06412	-12.08242	-0.86149
-0.04962	-12.18008	-0.81755
-0.03027	-12.22891	-0.72477
-0.00609	-12.22891	-0.58317
0.01325	-12.27773	-0.43669
0.02776	-12.27773	-0.30485
0.03501	-12.27773	-0.20720
0.04227	-12.27773	-0.11930
0.05436	-12.27773	-0.03630
0.07612	-12.27773	0.06624
0.09546	-12.27773	0.17855
0.11722	-12.22891	0.28597
0.15107	-12.22891	0.37386
0.19218	-12.18008	0.41780
0.22120	-12.13125	0.44222
0.23329	-12.13125	0.53987
0.23329	-12.08242	0.73030
0.22361	-12.03359	0.92562
0.21636	-11.93594	1.05745
0.21152	-11.88711	1.12093
0.20911	-11.78945	1.16976
0.20911	-11.74063	1.23812
0.21636	-11.64297	1.33577
0.22120	-11.59414	1.43831
0.22361	-11.49648	1.52132
0.22361	-11.39883	1.57991
0.22603	-11.30117	1.63363
0.23329	-11.20352	1.71175
0.23812	-11.10586	1.81429
0.24296	-11.00820	1.92171
0.24538	-10.86172	1.99495
0.24779	-10.71523	2.03402
0.24779	-10.56875	2.06331
0.24779	-10.47109	2.10238
0.25021	-10.32461	2.16585
0.25021	-10.17813	2.25374
0.25505	-10.03164	2.35140
0.25747	-9.88516	2.45394
0.26230	-9.73867	2.55648
0.26472	-9.54336	2.65413
0.26956	-9.39688	2.73226
0.27197	-9.20156	2.79573
0.27197	-9.05508	2.83968
0.27197	-8.85977	2.87386
