Damper Lab
Wed 16 Sep 2015 - 14/28/08
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
0.24296	9.59727	1.24788
0.24296	9.64609	1.25277
0.24054	9.74375	1.24788
0.24054	9.79258	1.22347
0.23812	9.89023	1.20394
0.23812	9.93906	1.18929
0.24054	9.98789	1.18929
0.24054	10.08555	1.17464
0.23812	10.18320	1.15023
0.23812	10.23203	1.10628
0.23570	10.28086	1.08187
0.23812	10.37852	1.08187
0.23812	10.42734	1.09163
0.23812	10.47617	1.09652
0.23570	10.57383	1.07210
0.23329	10.62266	1.04769
0.23329	10.67148	1.03792
0.23570	10.76914	1.04280
0.23570	10.76914	1.04769
0.23570	10.86680	1.02816
0.23329	10.91562	0.98909
0.23087	11.01328	0.95491
0.23329	11.06211	0.93050
0.23329	11.11094	0.92073
0.23329	11.11094	0.91585
0.23087	11.20859	0.89632
0.22845	11.25742	0.86702
0.23087	11.30625	0.84261
0.23087	11.35508	0.83773
0.23087	11.40391	0.84261
0.23087	11.45273	0.83773
0.22845	11.50156	0.81331
0.22603	11.55039	0.78402
0.22603	11.59922	0.77425
0.22603	11.64805	0.77425
0.22603	11.69687	0.76937
0.22603	11.74570	0.74495
0.22603	11.74570	0.71077
0.22361	11.79453	0.68148
0.22361	11.84336	0.67171
0.22361	11.89219	0.66195
0.22361	11.94102	0.64730
0.22120	11.98984	0.62288
0.21878	11.98984	0.59847
0.21878	12.08750	0.57894
0.21878	12.08750	0.57405
0.22120	12.13633	0.56917
0.21878	12.18516	0.55452
0.21636	12.18516	0.52523
0.21394	12.23398	0.49105
0.21394	12.23398	0.47152
0.21636	12.28281	0.47152
0.21394	12.28281	0.46663
0.21152	12.33164	0.44222
0.21152	12.38047	0.40804
0.20911	12.38047	0.38363
0.20911	12.42930	0.37386
0.20669	12.42930	0.36898
0.20669	12.47812	0.35921
0.20669	12.47812	0.33480
0.20427	12.47812	0.31038
0.20185	12.52695	0.29085
0.20185	12.52695	0.28597
0.20185	12.57578	0.28109
0.20185	12.52695	0.26155
0.19702	12.57578	0.23714
0.19460	12.57578	0.21273
0.19218	12.62461	0.19320
0.19218	12.62461	0.18831
0.19218	12.62461	0.18343
0.18976	12.62461	0.15902
0.18493	12.62461	0.12484
0.18251	12.62461	0.10042
0.18009	12.67344	0.09066
0.17767	12.67344	0.08577
0.17525	12.62461	0.07113
0.16800	12.62461	0.04671
0.16316	12.67344	0.02230
0.15833	12.67344	0.01253
0.15349	12.67344	0.00277
0.14624	12.67344	-0.01188
0.13657	12.67344	-0.03141
0.12448	12.67344	-0.05583
0.10513	12.67344	-0.07536
0.08337	12.62461	-0.09001
0.06403	12.62461	-0.09489
0.04710	12.62461	-0.10466
0.03259	12.62461	-0.12419
0.02050	12.62461	-0.15837
0.01325	12.62461	-0.19255
0.00841	12.57578	-0.21208
0.00841	12.57578	-0.22673
0.00600	12.57578	-0.23649
0.00116	12.52695	-0.26579
-0.00126	12.52695	-0.29997
-0.00368	12.52695	-0.32927
-0.00126	12.47812	-0.33903
-0.00126	12.47812	-0.34391
-0.00126	12.42930	-0.35368
-0.00609	12.42930	-0.37809
-0.00851	12.42930	-0.40739
-0.00851	12.38047	-0.42204
-0.01093	12.33164	-0.43669
-0.01335	12.33164	-0.44157
-0.01577	12.33164	-0.46110
-0.01577	12.28281	-0.48063
-0.01818	12.23398	-0.49528
-0.02060	12.18516	-0.50505
-0.02060	12.18516	-0.50993
-0.02302	12.13633	-0.51970
-0.02544	12.13633	-0.54411
-0.02786	12.08750	-0.57341
-0.03269	12.03867	-0.60270
-0.03269	11.98984	-0.61735
-0.03511	11.94102	-0.62712
-0.03753	11.89219	-0.64177
-0.03994	11.89219	-0.66618
-0.04236	11.79453	-0.68571
-0.04236	11.79453	-0.70036
-0.04478	11.74570	-0.70524
-0.04478	11.69687	-0.71501
-0.04962	11.64805	-0.73454
-0.04962	11.64805	-0.75407
-0.05203	11.59922	-0.76384
-0.05445	11.50156	-0.76384
-0.05445	11.45273	-0.76384
-0.05445	11.40391	-0.76384
-0.05687	11.40391	-0.77360
-0.05687	11.35508	-0.78825
-0.05687	11.30625	-0.79802
-0.06171	11.25742	-0.80290
-0.06654	11.15977	-0.82731
-0.07138	11.15977	-0.86638
-0.07863	11.11094	-0.90544
-0.08347	11.01328	-0.93962
-0.08830	10.96445	-0.96403
-0.08830	10.91562	-0.97868
-0.09072	10.86680	-0.99333
-0.09314	10.76914	-1.01286
-0.09556	10.72031	-1.03239
-0.09798	10.67148	-1.04704
-0.10039	10.62266	-1.05192
-0.10039	10.52500	-1.05680
-0.10523	10.47617	-1.06657
-0.11007	10.42734	-1.09098
-0.11248	10.32969	-1.12516
-0.11490	10.28086	-1.13981
-0.11490	10.18320	-1.14470
-0.11974	10.13437	-1.14958
-0.11974	10.08555	-1.15934
-0.12457	10.03672	-1.17887
-0.12699	9.93906	-1.19352
-0.12941	9.84141	-1.20329
-0.13183	9.79258	-1.20817
-0.13425	9.69492	-1.21794
-0.13666	9.64609	-1.23747
-0.14150	9.54844	-1.26188
-0.14392	9.45078	-1.27165
