Damper Lab
Wed 16 Sep 2015 - 14/30/29
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
-0.26965	2.85898	-1.87712
-0.26965	2.76133	-1.87712
-0.26965	2.66367	-1.86735
-0.26965	2.56602	-1.84782
-0.26965	2.46836	-1.83805
-0.27207	2.32188	-1.84294
-0.27449	2.22422	-1.84782
-0.27449	2.07773	-1.84294
-0.27449	1.98008	-1.83317
-0.27449	1.88242	-1.84294
-0.27691	1.78477	-1.86247
-0.27691	1.63828	-1.87712
-0.27932	1.54063	-1.88200
-0.27691	1.44297	-1.87712
-0.27691	1.29648	-1.88200
-0.27691	1.19883	-1.89177
-0.27932	1.10117	-1.90153
-0.27932	1.00352	-1.90153
-0.27932	0.85703	-1.88688
-0.27932	0.75938	-1.87223
-0.27932	0.66172	-1.86735
-0.27932	0.56406	-1.86735
-0.28174	0.41758	-1.86735
-0.28174	0.31992	-1.87712
-0.28174	0.17344	-1.88200
-0.28174	0.07578	-1.88688
-0.27932	-0.02187	-1.89177
-0.27932	-0.16836	-1.90153
-0.28174	-0.26602	-1.90641
-0.28174	-0.36367	-1.90641
-0.28174	-0.46133	-1.89665
-0.27932	-0.60781	-1.88200
-0.27932	-0.70547	-1.87223
-0.27932	-0.80312	-1.86735
-0.28174	-0.94961	-1.85759
-0.27932	-1.04727	-1.84294
-0.27691	-1.19375	-1.83317
-0.27932	-1.29141	-1.83805
-0.27691	-1.38906	-1.84782
-0.27691	-1.48672	-1.86247
-0.27691	-1.63320	-1.86247
-0.27691	-1.73086	-1.86735
-0.27691	-1.87734	-1.87223
-0.27449	-1.97500	-1.87223
-0.27207	-2.07266	-1.86735
-0.27207	-2.17031	-1.85759
-0.27207	-2.31680	-1.84782
-0.27207	-2.41445	-1.83805
-0.26965	-2.51211	-1.82341
-0.26723	-2.65859	-1.81364
-0.26723	-2.75625	-1.80876
-0.26723	-2.85391	-1.81364
-0.26723	-2.95156	-1.81852
-0.26482	-3.09805	-1.82341
-0.26240	-3.19570	-1.82341
-0.26240	-3.29336	-1.82829
-0.25998	-3.43984	-1.83317
-0.25998	-3.53750	-1.83317
-0.25756	-3.63516	-1.82341
-0.25756	-3.73281	-1.81364
-0.25514	-3.83047	-1.79899
-0.25273	-3.92812	-1.78434
-0.25273	-4.07461	-1.76481
-0.25273	-4.17227	-1.75016
-0.25273	-4.26992	-1.73552
-0.24789	-4.36758	-1.73063
-0.24547	-4.46523	-1.72575
-0.24547	-4.61172	-1.73063
-0.24305	-4.70937	-1.74040
-0.24305	-4.80703	-1.73552
-0.24064	-4.90469	-1.73063
-0.23822	-5.00234	-1.72575
-0.23580	-5.14883	-1.72575
-0.23580	-5.19766	-1.72575
-0.23338	-5.34414	-1.72087
-0.23338	-5.44180	-1.70622
-0.22855	-5.53945	-1.68180
-0.22613	-5.63711	-1.66716
-0.22371	-5.73477	-1.66227
-0.22371	-5.83242	-1.65739
-0.22371	-5.93008	-1.65251
-0.22129	-6.07656	-1.64274
-0.21887	-6.12539	-1.62321
-0.21646	-6.27187	-1.61833
-0.21404	-6.32070	-1.62321
-0.21162	-6.41836	-1.62809
-0.20920	-6.51602	-1.62809
-0.20678	-6.61367	-1.60856
-0.20437	-6.71133	-1.59391
-0.20195	-6.80898	-1.58415
-0.19953	-6.90664	-1.57927
-0.19953	-7.00430	-1.56950
-0.19469	-7.10195	-1.54020
-0.19469	-7.19961	-1.51091
-0.18986	-7.29727	-1.49137
-0.18986	-7.39492	-1.48649
-0.18744	-7.44375	-1.48649
-0.18744	-7.54141	-1.49137
-0.18261	-7.63906	-1.48649
-0.18019	-7.73672	-1.47673
-0.17777	-7.83437	-1.46208
-0.17535	-7.93203	-1.45720
-0.17535	-8.02969	-1.45720
-0.17052	-8.07852	-1.44743
-0.17052	-8.17617	-1.42790
-0.16568	-8.27383	-1.39860
-0.16084	-8.32266	-1.37907
-0.16084	-8.42031	-1.37419
-0.15843	-8.51797	-1.36442
-0.15601	-8.61563	-1.34489
-0.15117	-8.66445	-1.32536
-0.14875	-8.76211	-1.31071
-0.14634	-8.85977	-1.31071
-0.14392	-8.95742	-1.31071
-0.14150	-9.00625	-1.30095
-0.13908	-9.05508	-1.28630
-0.13425	-9.15273	-1.27165
-0.13425	-9.25039	-1.26188
-0.13425	-9.29922	-1.26188
-0.13183	-9.39688	-1.25700
-0.12699	-9.44570	-1.24235
-0.12216	-9.54336	-1.20817
-0.11732	-9.59219	-1.17399
-0.11490	-9.68984	-1.14470
-0.11248	-9.73867	-1.12516
-0.10765	-9.78750	-1.10563
-0.10523	-9.88516	-1.08122
-0.10281	-9.98281	-1.06657
-0.10039	-10.03164	-1.06657
-0.10039	-10.08047	-1.07634
-0.09798	-10.12930	-1.08122
-0.09314	-10.22695	-1.07145
-0.08830	-10.27578	-1.05680
-0.08589	-10.32461	-1.04704
-0.08347	-10.37344	-1.03727
-0.08105	-10.47109	-1.02751
-0.08105	-10.51992	-1.00798
-0.07621	-10.56875	-0.97380
-0.07380	-10.61758	-0.93473
-0.06896	-10.71523	-0.89567
-0.06654	-10.76406	-0.87614
-0.06654	-10.81289	-0.86149
-0.06412	-10.86172	-0.85661
-0.05929	-10.91055	-0.84684
-0.05929	-11.00820	-0.83708
-0.05687	-11.05703	-0.83220
-0.05687	-11.05703	-0.83220
-0.05445	-11.10586	-0.83708
-0.05445	-11.20352	-0.84196
-0.05445	-11.25234	-0.83708
-0.05445	-11.30117	-0.83220
-0.05203	-11.30117	-0.82731
-0.05203	-11.39883	-0.83220
-0.05203	-11.39883	-0.82731
-0.04962	-11.44766	-0.80290
-0.04720	-11.49648	-0.77360
-0.04236	-11.54531	-0.73454
-0.03753	-11.59414	-0.69059
-0.02786	-11.64297	-0.63200
-0.01818	-11.69180	-0.56364
-0.01093	-11.69180	-0.51481
-0.00851	-11.78945	-0.49040
-0.01093	-11.78945	-0.49528
-0.01093	-11.83828	-0.50016
-0.00609	-11.83828	-0.49528
-0.00126	-11.88711	-0.47575
-0.00126	-11.88711	-0.46110
-0.00126	-11.93594	-0.45622
-0.00126	-11.93594	-0.46598
0.00116	-11.98477	-0.46110
0.00358	-11.98477	-0.43180
0.00600	-12.03359	-0.39274
0.00841	-12.03359	-0.36345
0.00841	-12.08242	-0.34391
0.01083	-12.08242	-0.32927
0.01083	-12.13125	-0.29997
0.01325	-12.13125	-0.26579
0.01567	-12.13125	-0.24137
0.01809	-12.13125	-0.23161
0.02050	-12.18008	-0.22673
0.02050	-12.18008	-0.21696
0.02050	-12.18008	-0.19743
0.02292	-12.18008	-0.16813
0.02776	-12.22891	-0.14372
0.02776	-12.22891	-0.13395
0.02776	-12.22891	-0.13884
0.02776	-12.22891	-0.13884
0.03018	-12.27773	-0.11930
0.03501	-12.27773	-0.08512
0.03743	-12.27773	-0.05583
0.03985	-12.22891	-0.04606
0.03985	-12.22891	-0.03630
0.04227	-12.27773	-0.01677
0.04710	-12.27773	0.02230
0.05436	-12.27773	0.04671
0.06403	-12.22891	0.05159
0.07128	-12.27773	0.05159
0.07854	-12.27773	0.06136
0.08821	-12.27773	0.09066
0.09546	-12.22891	0.12484
0.10272	-12.22891	0.15413
0.10755	-12.22891	0.16878
0.12206	-12.22891	0.16878
0.13898	-12.22891	0.15902
0.16316	-12.18008	0.14437
0.18734	-12.18008	0.14437
0.20185	-12.18008	0.15413
0.20911	-12.18008	0.17855
0.20669	-12.13125	0.21761
0.20185	-12.13125	0.26644
0.19460	-12.13125	0.31527
0.18976	-12.08242	0.34945
0.18734	-12.08242	0.36409
0.18493	-12.03359	0.38363
0.18734	-11.98477	0.40804
0.18734	-11.98477	0.43245
0.18493	-11.98477	0.45198
0.18493	-11.93594	0.45687
0.18493	-11.88711	0.46663
0.18493	-11.88711	0.48616
0.18734	-11.83828	0.51546
0.18976	-11.78945	0.53499
0.19218	-11.78945	0.54964
0.19460	-11.74063	0.54964
0.19460	-11.74063	0.55452
0.19218	-11.69180	0.54964
0.19218	-11.64297	0.54964
0.19460	-11.59414	0.55941
0.19702	-11.59414	0.57894
0.19702	-11.54531	0.60335
0.19943	-11.49648	0.63753
0.20185	-11.44766	0.66683
0.20427	-11.39883	0.68636
0.20427	-11.39883	0.69612
0.20669	-11.35000	0.70589
0.20669	-11.30117	0.72054
0.20669	-11.25234	0.74007
0.20669	-11.20352	0.75960
0.20911	-11.15469	0.77913
0.21152	-11.10586	0.79866
0.21394	-11.05703	0.81820
0.21636	-11.00820	0.83773
0.21636	-10.95938	0.85237
0.21636	-10.91055	0.86702
0.21878	-10.86172	0.88167
0.21878	-10.76406	0.89144
0.22120	-10.71523	0.89632
0.21878	-10.71523	0.90120
0.22120	-10.61758	0.92073
0.22361	-10.56875	0.94027
0.22603	-10.51992	0.96468
0.22845	-10.42227	0.97445
0.22845	-10.37344	0.98909
0.22845	-10.27578	1.00374
0.23087	-10.22695	1.02816
0.23087	-10.17813	1.04769
0.23087	-10.12930	1.06234
0.23087	-10.03164	1.07210
0.23329	-9.98281	1.08187
0.23570	-9.93398	1.09163
0.23570	-9.83633	1.10140
0.23812	-9.78750	1.12093
0.24054	-9.68984	1.13558
0.24054	-9.64102	1.14046
0.24054	-9.59219	1.14534
0.24054	-9.49453	1.15511
0.24296	-9.39688	1.16488
0.24296	-9.34805	1.18441
0.24296	-9.25039	1.19905
0.24538	-9.20156	1.21859
0.24538	-9.15273	1.24300
0.24779	-9.05508	1.26741
0.25021	-8.95742	1.28695
0.25021	-8.90859	1.30159
0.25263	-8.81094	1.31136
0.25263	-8.71328	1.32113
0.25263	-8.66445	1.32113
